id,date,store_nbr,sales,onpromotion
3000888,2017-08-16,1,34.870014,0
3000889,2017-08-16,1,34.870014,0
3000890,2017-08-16,1,-79.28674,2
3000891,2017-08-16,1,1008.5299,20
3000892,2017-08-16,1,34.870014,0
3000893,2017-08-16,1,515.4991,12
3000894,2017-08-16,1,34.870014,0
3000895,2017-08-16,1,1605.6144,25
3000896,2017-08-16,1,2905.5754,45
3000897,2017-08-16,1,834.9085,18
3000898,2017-08-16,1,-36.132843,1
3000899,2017-08-16,1,-36.132843,1
3000900,2017-08-16,1,4075.7708,64
3000901,2017-08-16,1,34.870014,0
3000902,2017-08-16,1,34.870014,0
3000903,2017-08-16,1,-79.28674,2
3000904,2017-08-16,1,257.1459,6
3000905,2017-08-16,1,34.870014,0
3000906,2017-08-16,1,585.5987,10
3000907,2017-08-16,1,34.870014,0
3000908,2017-08-16,1,685.3707,16
3000909,2017-08-16,1,169.93614,5
3000910,2017-08-16,1,586.3693,9
3000911,2017-08-16,1,34.870014,0
3000912,2017-08-16,1,34.870014,0
3000913,2017-08-16,1,834.9085,18
3000914,2017-08-16,1,34.870014,0
3000915,2017-08-16,1,34.870014,0
3000916,2017-08-16,1,34.870014,0
3000917,2017-08-16,1,34.870014,0
3000918,2017-08-16,1,3860.3394,256
3000919,2017-08-16,1,509.82867,14
3000920,2017-08-16,1,34.870014,0
3000921,2017-08-16,10,-38.485977,0
3000922,2017-08-16,10,-38.485977,0
3000923,2017-08-16,10,-148.60759,2
3000924,2017-08-16,10,2331.6348,43
3000925,2017-08-16,10,-38.485977,0
3000926,2017-08-16,10,280.34088,15
3000927,2017-08-16,10,-38.485977,0
3000928,2017-08-16,10,1839.1104,30
3000929,2017-08-16,10,155.34451,106
3000930,2017-08-16,10,410.19946,18
3000931,2017-08-16,10,-117.9004,1
3000932,2017-08-16,10,-117.9004,1
3000933,2017-08-16,10,914.43524,96
3000934,2017-08-16,10,-38.485977,0
3000935,2017-08-16,10,-38.485977,0
3000936,2017-08-16,10,-148.60759,2
3000937,2017-08-16,10,-71.19547,6
3000938,2017-08-16,10,-38.485977,0
3000939,2017-08-16,10,280.34088,15
3000940,2017-08-16,10,-38.485977,0
3000941,2017-08-16,10,261.99136,16
3000942,2017-08-16,10,-121.18415,5
3000943,2017-08-16,10,24.756426,10
3000944,2017-08-16,10,-38.485977,0
3000945,2017-08-16,10,-38.485977,0
3000946,2017-08-16,10,521.9012,19
3000947,2017-08-16,10,-38.485977,0
3000948,2017-08-16,10,-38.485977,0
3000949,2017-08-16,10,-38.485977,0
3000950,2017-08-16,10,-38.485977,0
3000951,2017-08-16,10,458.42126,230
3000952,2017-08-16,10,152.45262,14
3000953,2017-08-16,10,-38.485977,0
3000954,2017-08-16,11,40.443245,0
3000955,2017-08-16,11,40.443245,0
3000956,2017-08-16,11,25.207075,2
3000957,2017-08-16,11,4536.2354,52
3000958,2017-08-16,11,40.443245,0
3000959,2017-08-16,11,895.1023,16
3000960,2017-08-16,11,40.443245,0
3000961,2017-08-16,11,3943.7903,35
3000962,2017-08-16,11,1361.5648,145
3000963,2017-08-16,11,1044.0535,18
3000964,2017-08-16,11,-20.869081,1
3000965,2017-08-16,11,-20.869081,1
3000966,2017-08-16,11,3180.9321,102
3000967,2017-08-16,11,40.443245,0
3000968,2017-08-16,11,40.443245,0
3000969,2017-08-16,11,168.3346,4
3000970,2017-08-16,11,342.63345,6
3000971,2017-08-16,11,40.443245,0
3000972,2017-08-16,11,785.56335,14
3000973,2017-08-16,11,40.443245,0
3000974,2017-08-16,11,895.1023,16
3000975,2017-08-16,11,110.94196,3
3000976,2017-08-16,11,509.99536,8
3000977,2017-08-16,11,40.443245,0
3000978,2017-08-16,11,40.443245,0
3000979,2017-08-16,11,1044.0535,18
3000980,2017-08-16,11,40.443245,0
3000981,2017-08-16,11,-20.869081,1
3000982,2017-08-16,11,40.443245,0
3000983,2017-08-16,11,40.443245,0
3000984,2017-08-16,11,1361.5648,163
3000985,2017-08-16,11,785.56335,14
3000986,2017-08-16,11,40.443245,0
3000987,2017-08-16,12,-13.484913,0
3000988,2017-08-16,12,-13.484913,0
3000989,2017-08-16,12,-93.246475,2
3000990,2017-08-16,12,2492.684,38
3000991,2017-08-16,12,-13.484913,0
3000992,2017-08-16,12,529.9214,17
3000993,2017-08-16,12,-13.484913,0
3000994,2017-08-16,12,2185.5115,29
3000995,2017-08-16,12,-725.8258,115
3000996,2017-08-16,12,625.6372,18
3000997,2017-08-16,12,-75.05882,1
3000998,2017-08-16,12,-75.05882,1
3000999,2017-08-16,12,699.4595,87
3001000,2017-08-16,12,-13.484913,0
3001001,2017-08-16,12,-13.484913,0
3001002,2017-08-16,12,-93.246475,2
3001003,2017-08-16,12,71.54701,6
3001004,2017-08-16,12,-13.484913,0
3001005,2017-08-16,12,495.03424,15
3001006,2017-08-16,12,-13.484913,0
3001007,2017-08-16,12,476.68484,16
3001008,2017-08-16,12,26.988543,5
3001009,2017-08-16,12,199.44049,9
3001010,2017-08-16,12,-13.484913,0
3001011,2017-08-16,12,-13.484913,0
3001012,2017-08-16,12,495.03424,15
3001013,2017-08-16,12,-13.484913,0
3001014,2017-08-16,12,-13.484913,0
3001015,2017-08-16,12,-75.05882,1
3001016,2017-08-16,12,-13.484913,0
3001017,2017-08-16,12,1498.7319,219
3001018,2017-08-16,12,367.14615,14
3001019,2017-08-16,12,-13.484913,0
3001020,2017-08-16,13,-13.327804,0
3001021,2017-08-16,13,-13.327804,0
3001022,2017-08-16,13,-93.08937,2
3001023,2017-08-16,13,2309.7148,33
3001024,2017-08-16,13,-13.327804,0
3001025,2017-08-16,13,476.84195,16
3001026,2017-08-16,13,-13.327804,0
3001027,2017-08-16,13,2178.3828,29
3001028,2017-08-16,13,544.8409,107
3001029,2017-08-16,13,625.6372,18
3001030,2017-08-16,13,-74.90172,1
3001031,2017-08-16,13,-74.90172,1
3001032,2017-08-16,13,695.54803,90
3001033,2017-08-16,13,-13.327804,0
3001034,2017-08-16,13,-13.327804,0
3001035,2017-08-16,13,-93.08937,2
3001036,2017-08-16,13,71.70412,6
3001037,2017-08-16,13,-13.327804,0
3001038,2017-08-16,13,367.30325,14
3001039,2017-08-16,13,-13.327804,0
3001040,2017-08-16,13,476.84195,16
3001041,2017-08-16,13,-22.596764,3
3001042,2017-08-16,13,213.83878,10
3001043,2017-08-16,13,-13.327804,0
