id,date,store_nbr,sales_x,onpromotion,sales_y
3000888,2017-08-16,1,34.870014,0,34.870014
3000889,2017-08-16,1,34.870014,0,34.870014
3000890,2017-08-16,1,-79.28674,2,-79.28674
3000891,2017-08-16,1,1008.5299,20,1008.5299
3000892,2017-08-16,1,34.870014,0,34.870014
3000893,2017-08-16,1,515.4991,12,515.4991
3000894,2017-08-16,1,34.870014,0,34.870014
3000895,2017-08-16,1,1605.6144,25,1605.6144
3000896,2017-08-16,1,2905.5754,45,2905.5754
3000897,2017-08-16,1,834.9085,18,834.9085
3000898,2017-08-16,1,-36.132843,1,-36.132843
3000899,2017-08-16,1,-36.132843,1,-36.132843
3000900,2017-08-16,1,4075.7708,64,4075.7708
3000901,2017-08-16,1,34.870014,0,34.870014
3000902,2017-08-16,1,34.870014,0,34.870014
3000903,2017-08-16,1,-79.28674,2,-79.28674
3000904,2017-08-16,1,257.1459,6,257.1459
3000905,2017-08-16,1,34.870014,0,34.870014
3000906,2017-08-16,1,585.5987,10,585.5987
3000907,2017-08-16,1,34.870014,0,34.870014
3000908,2017-08-16,1,685.3707,16,685.3707
3000909,2017-08-16,1,169.93614,5,169.93614
3000910,2017-08-16,1,586.3693,9,586.3693
3000911,2017-08-16,1,34.870014,0,34.870014
3000912,2017-08-16,1,34.870014,0,34.870014
3000913,2017-08-16,1,834.9085,18,834.9085
3000914,2017-08-16,1,34.870014,0,34.870014
3000915,2017-08-16,1,34.870014,0,34.870014
3000916,2017-08-16,1,34.870014,0,34.870014
3000917,2017-08-16,1,34.870014,0,34.870014
3000918,2017-08-16,1,3860.3394,256,3860.3394
3000919,2017-08-16,1,509.82867,14,509.82867
3000920,2017-08-16,1,34.870014,0,34.870014
3000921,2017-08-16,10,-38.485977,0,-38.485977
3000922,2017-08-16,10,-38.485977,0,-38.485977
3000923,2017-08-16,10,-148.60759,2,-148.60759
3000924,2017-08-16,10,2331.6348,43,2331.6348
3000925,2017-08-16,10,-38.485977,0,-38.485977
3000926,2017-08-16,10,280.34088,15,280.34088
3000927,2017-08-16,10,-38.485977,0,-38.485977
3000928,2017-08-16,10,1839.1104,30,1839.1104
3000929,2017-08-16,10,155.34451,106,155.34451
3000930,2017-08-16,10,410.19946,18,410.19946
3000931,2017-08-16,10,-117.9004,1,-117.9004
3000932,2017-08-16,10,-117.9004,1,-117.9004
3000933,2017-08-16,10,914.43524,96,914.43524
3000934,2017-08-16,10,-38.485977,0,-38.485977
3000935,2017-08-16,10,-38.485977,0,-38.485977
3000936,2017-08-16,10,-148.60759,2,-148.60759
3000937,2017-08-16,10,-71.19547,6,-71.19547
3000938,2017-08-16,10,-38.485977,0,-38.485977
3000939,2017-08-16,10,280.34088,15,280.34088
3000940,2017-08-16,10,-38.485977,0,-38.485977
3000941,2017-08-16,10,261.99136,16,261.99136
3000942,2017-08-16,10,-121.18415,5,-121.18415
3000943,2017-08-16,10,24.756426,10,24.756426
3000944,2017-08-16,10,-38.485977,0,-38.485977
3000945,2017-08-16,10,-38.485977,0,-38.485977
3000946,2017-08-16,10,521.9012,19,521.9012
3000947,2017-08-16,10,-38.485977,0,-38.485977
3000948,2017-08-16,10,-38.485977,0,-38.485977
3000949,2017-08-16,10,-38.485977,0,-38.485977
3000950,2017-08-16,10,-38.485977,0,-38.485977
3000951,2017-08-16,10,458.42126,230,458.42126
3000952,2017-08-16,10,152.45262,14,152.45262
3000953,2017-08-16,10,-38.485977,0,-38.485977
3000954,2017-08-16,11,40.443245,0,40.443245
3000955,2017-08-16,11,40.443245,0,40.443245
3000956,2017-08-16,11,25.207075,2,25.207075
3000957,2017-08-16,11,4536.2354,52,4536.2354
3000958,2017-08-16,11,40.443245,0,40.443245
3000959,2017-08-16,11,895.1023,16,895.1023
3000960,2017-08-16,11,40.443245,0,40.443245
3000961,2017-08-16,11,3943.7903,35,3943.7903
3000962,2017-08-16,11,1361.5648,145,1361.5648
3000963,2017-08-16,11,1044.0535,18,1044.0535
3000964,2017-08-16,11,-20.869081,1,-20.869081
3000965,2017-08-16,11,-20.869081,1,-20.869081
3000966,2017-08-16,11,3180.9321,102,3180.9321
3000967,2017-08-16,11,40.443245,0,40.443245
3000968,2017-08-16,11,40.443245,0,40.443245
3000969,2017-08-16,11,168.3346,4,168.3346
3000970,2017-08-16,11,342.63345,6,342.63345
3000971,2017-08-16,11,40.443245,0,40.443245
3000972,2017-08-16,11,785.56335,14,785.56335
3000973,2017-08-16,11,40.443245,0,40.443245
3000974,2017-08-16,11,895.1023,16,895.1023
3000975,2017-08-16,11,110.94196,3,110.94196
3000976,2017-08-16,11,509.99536,8,509.99536
3000977,2017-08-16,11,40.443245,0,40.443245
3000978,2017-08-16,11,40.443245,0,40.443245
3000979,2017-08-16,11,1044.0535,18,1044.0535
3000980,2017-08-16,11,40.443245,0,40.443245
3000981,2017-08-16,11,-20.869081,1,-20.869081
3000982,2017-08-16,11,40.443245,0,40.443245
3000983,2017-08-16,11,40.443245,0,40.443245
3000984,2017-08-16,11,1361.5648,163,1361.5648
3000985,2017-08-16,11,785.56335,14,785.56335
3000986,2017-08-16,11,40.443245,0,40.443245
3000987,2017-08-16,12,-13.484913,0,-13.484913
3000988,2017-08-16,12,-13.484913,0,-13.484913
3000989,2017-08-16,12,-93.246475,2,-93.246475
3000990,2017-08-16,12,2492.684,38,2492.684
3000991,2017-08-16,12,-13.484913,0,-13.484913
3000992,2017-08-16,12,529.9214,17,529.9214
